census_geoid,geography_type,state_fips,county_fips,place_fips,geography_name,acs_vintage,median_household_income,total_population,source_id
0500000US05085,county,05,085,,"Lonoke County, Arkansas",2024,72828,75272,acs5_2024_county_income
0500000US05087,county,05,087,,"Madison County, Arkansas",2024,56798,17329,acs5_2024_county_income
0500000US05089,county,05,089,,"Marion County, Arkansas",2024,48619,17228,acs5_2024_county_income
0500000US05091,county,05,091,,"Miller County, Arkansas",2024,48836,42360,acs5_2024_county_income
0500000US05093,county,05,093,,"Mississippi County, Arkansas",2024,52548,39126,acs5_2024_county_income
0500000US05095,county,05,095,,"Monroe County, Arkansas",2024,43214,6589,acs5_2024_county_income
0500000US05097,county,05,097,,"Montgomery County, Arkansas",2024,48906,8553,acs5_2024_county_income
0500000US05099,county,05,099,,"Nevada County, Arkansas",2024,53886,8159,acs5_2024_county_income
0500000US05101,county,05,101,,"Newton County, Arkansas",2024,48986,7112,acs5_2024_county_income
0500000US05103,county,05,103,,"Ouachita County, Arkansas",2024,49268,22085,acs5_2024_county_income
0500000US05105,county,05,105,,"Perry County, Arkansas",2024,55764,10101,acs5_2024_county_income
0500000US05107,county,05,107,,"Phillips County, Arkansas",2024,40134,15450,acs5_2024_county_income
0500000US05109,county,05,109,,"Pike County, Arkansas",2024,49269,10115,acs5_2024_county_income
0500000US05111,county,05,111,,"Poinsett County, Arkansas",2024,46707,22543,acs5_2024_county_income
0500000US05113,county,05,113,,"Polk County, Arkansas",2024,49191,19361,acs5_2024_county_income
0500000US05115,county,05,115,,"Pope County, Arkansas",2024,57344,64131,acs5_2024_county_income
0500000US05117,county,05,117,,"Prairie County, Arkansas",2024,51646,8064,acs5_2024_county_income
0500000US05119,county,05,119,,"Pulaski County, Arkansas",2024,62873,399818,acs5_2024_county_income
0500000US05121,county,05,121,,"Randolph County, Arkansas",2024,50911,18838,acs5_2024_county_income
0500000US05123,county,05,123,,"St. Francis County, Arkansas",2024,42574,22400,acs5_2024_county_income
0500000US05125,county,05,125,,"Saline County, Arkansas",2024,79046,127479,acs5_2024_county_income
0500000US05127,county,05,127,,"Scott County, Arkansas",2024,43270,9816,acs5_2024_county_income
0500000US05129,county,05,129,,"Searcy County, Arkansas",2024,44426,7859,acs5_2024_county_income
0500000US05131,county,05,131,,"Sebastian County, Arkansas",2024,57790,128900,acs5_2024_county_income
0500000US05133,county,05,133,,"Sevier County, Arkansas",2024,53527,15712,acs5_2024_county_income
0500000US05135,county,05,135,,"Sharp County, Arkansas",2024,44637,17773,acs5_2024_county_income
0500000US05137,county,05,137,,"Stone County, Arkansas",2024,40943,12568,acs5_2024_county_income
0500000US05139,county,05,139,,"Union County, Arkansas",2024,55259,37900,acs5_2024_county_income
0500000US05141,county,05,141,,"Van Buren County, Arkansas",2024,50354,15998,acs5_2024_county_income
0500000US05143,county,05,143,,"Washington County, Arkansas",2024,70639,256765,acs5_2024_county_income
0500000US05145,county,05,145,,"White County, Arkansas",2024,55249,77838,acs5_2024_county_income
0500000US05147,county,05,147,,"Woodruff County, Arkansas",2024,48158,6026,acs5_2024_county_income
0500000US05149,county,05,149,,"Yell County, Arkansas",2024,55934,20134,acs5_2024_county_income
0500000US06001,county,06,001,,"Alameda County, California",2024,129367,1649473,acs5_2024_county_income
0500000US06003,county,06,003,,"Alpine County, California",2024,105521,1616,acs5_2024_county_income
0500000US06005,county,06,005,,"Amador County, California",2024,88044,41428,acs5_2024_county_income
0500000US06007,county,06,007,,"Butte County, California",2024,67928,207929,acs5_2024_county_income
