place_geoid,place_name,state_fips,district_geoid,district_name,place_area_share_pct,crosswalk_method,crosswalk_confidence,crosswalk_validation_status,test_type,metric_name,metric_value,score_year,students_tested,participation_rate,aggregation_method,source_type,source_id,performance_confidence,performance_notes
1600000US1377652,Tucker city,13,9700000US1301740,DeKalb County School District,99.972,census_tiger_2023_polygon_intersection,medium,candidate_spatial,SAT,average_composite,922.6,2024-25,4213.5,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1377652,Tucker city,13,9700000US1302550,Gwinnett County School District,0.028,census_tiger_2023_polygon_intersection,low,candidate_spatial,ACT,average_composite,22.8,2024-25,920,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1377652,Tucker city,13,9700000US1302550,Gwinnett County School District,0.028,census_tiger_2023_polygon_intersection,low,candidate_spatial,SAT,average_composite,1109.9,2024-25,4964,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1341596,Jackson city,13,9700000US1300690,Butts County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,SAT,average_composite,956.7,2024-25,61,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1340840,Ila city,13,9700000US1303480,Madison County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,ACT,average_composite,21.6,2024-25,24,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1340840,Ila city,13,9700000US1303480,Madison County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,SAT,average_composite,1074.8,2024-25,80,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1315648,Chauncey city,13,9700000US1301770,Dodge County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,SAT,average_composite,1066.1,2024-25,31,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1315900,Chester town,13,9700000US1301770,Dodge County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,SAT,average_composite,1066.1,2024-25,31,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1308284,Blackshear city,13,9700000US1304140,Pierce County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,ACT,average_composite,19.9,2024-25,15,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1308284,Blackshear city,13,9700000US1304140,Pierce County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,SAT,average_composite,1084.6,2024-25,56,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1364932,Rhine town,13,9700000US1301770,Dodge County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,SAT,average_composite,1066.1,2024-25,31,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1343360,Keysville city,13,9700000US1300660,Burke County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,SAT,average_composite,939.7,2024-25,74,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1351240,Midville city,13,9700000US1300660,Burke County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,SAT,average_composite,939.7,2024-25,74,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1380984,Waynesboro city,13,9700000US1300660,Burke County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,SAT,average_composite,939.7,2024-25,74,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1303440,Athens-Clarke County unified government (balance),13,9700000US1301170,Clarke County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,ACT,average_composite,19.2,2024-25,71,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1303440,Athens-Clarke County unified government (balance),13,9700000US1301170,Clarke County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,SAT,average_composite,1014.9,2024-25,211,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1321716,Darien city,13,9700000US1303600,McIntosh County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,SAT,average_composite,928,2024-25,15,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1302060,Ambrose city,13,9700000US1301350,Coffee County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,ACT,average_composite,19,2024-25,44,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1302060,Ambrose city,13,9700000US1301350,Coffee County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,SAT,average_composite,995.9,2024-25,104,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
