census_geoid,geography_type,state_fips,place_fips,geography_name,acs_vintage,total_population,white_alone_pct,black_alone_pct,asian_alone_pct,hispanic_or_latino_pct,foreign_born_pct,under_18_pct,source_id
1600000US2711764,place,27,11764,"Clear Lake city, Minnesota",2024,579,96.2,0.518,0.0,0.0,0.864,30.743,acs5_2024_place_demographics
1600000US2711800,place,27,11800,"Clearwater city, Minnesota",2024,1970,92.995,0.0,1.015,0.203,1.726,28.477,acs5_2024_place_demographics
1600000US2711836,place,27,11836,"Clements city, Minnesota",2024,109,86.239,0.0,0.0,3.67,0.0,25.688,acs5_2024_place_demographics
1600000US2711872,place,27,11872,"Cleveland city, Minnesota",2024,563,91.829,0.888,0.533,2.309,3.02,26.288,acs5_2024_place_demographics
1600000US2711962,place,27,11962,"Climax city, Minnesota",2024,209,86.124,0.0,0.0,14.354,3.828,34.928,acs5_2024_place_demographics
1600000US2711980,place,27,11980,"Clinton city, Minnesota",2024,281,86.121,0.0,2.847,6.762,2.847,26.335,acs5_2024_place_demographics
1600000US2712088,place,27,12088,"Clitherall city, Minnesota",2024,111,99.099,0.0,0.901,0.0,0.901,29.73,acs5_2024_place_demographics
1600000US2712124,place,27,12124,"Clontarf city, Minnesota",2024,45,93.333,0.0,0.0,0.0,0.0,11.111,acs5_2024_place_demographics
1600000US2712160,place,27,12160,"Cloquet city, Minnesota",2024,12537,85.491,0.917,0.909,2.401,2.64,22.757,acs5_2024_place_demographics
1600000US2712376,place,27,12376,"Coates city, Minnesota",2024,131,87.023,1.527,0.0,1.527,0.0,17.557,acs5_2024_place_demographics
1600000US2712394,place,27,12394,"Cobden city, Minnesota",2024,12,100.0,0.0,0.0,0.0,0.0,25.0,acs5_2024_place_demographics
1600000US2712412,place,27,12412,"Cohasset city, Minnesota",2024,2703,89.826,0.703,0.0,1.517,0.296,21.717,acs5_2024_place_demographics
1600000US2712430,place,27,12430,"Cokato city, Minnesota",2024,2782,87.383,0.252,0.144,9.957,5.428,31.596,acs5_2024_place_demographics
1600000US2712484,place,27,12484,"Cold Spring city, Minnesota",2024,4249,90.586,0.118,0.0,5.084,6.425,21.605,acs5_2024_place_demographics
1600000US2712502,place,27,12502,"Coleraine city, Minnesota",2024,2150,95.209,0.186,0.0,1.628,0.512,28.465,acs5_2024_place_demographics
1600000US2712664,place,27,12664,"Cologne city, Minnesota",2024,2282,89.001,2.366,1.753,1.709,2.761,27.257,acs5_2024_place_demographics
1600000US2712700,place,27,12700,"Columbia Heights city, Minnesota",2024,22155,49.56,26.847,4.297,15.31,22.18,20.943,acs5_2024_place_demographics
1600000US2712718,place,27,12718,"Columbus city, Minnesota",2024,4248,92.655,0.0,2.66,2.024,3.225,19.845,acs5_2024_place_demographics
1600000US2712772,place,27,12772,"Comfrey city, Minnesota",2024,338,76.036,0.0,0.0,16.272,5.917,20.71,acs5_2024_place_demographics
1600000US2712862,place,27,12862,"Comstock city, Minnesota",2024,100,94.0,0.0,3.0,2.0,3.0,15.0,acs5_2024_place_demographics
1600000US2712952,place,27,12952,"Conger city, Minnesota",2024,99,96.97,0.0,0.0,7.071,0.0,24.242,acs5_2024_place_demographics
1600000US2713006,place,27,13006,"Cook city, Minnesota",2024,423,94.09,0.0,0.0,0.0,0.473,12.293,acs5_2024_place_demographics
1600000US2713114,place,27,13114,"Coon Rapids city, Minnesota",2024,63468,72.035,9.597,7.408,5.816,9.649,21.471,acs5_2024_place_demographics
1600000US2713168,place,27,13168,"Corcoran city, Minnesota",2024,7302,77.417,0.411,15.612,1.931,16.489,23.761,acs5_2024_place_demographics
1600000US2713384,place,27,13384,"Correll city, Minnesota",2024,18,100.0,0.0,0.0,0.0,0.0,33.333,acs5_2024_place_demographics
1600000US2713420,place,27,13420,"Cosmos city, Minnesota",2024,536,93.657,0.0,0.0,4.851,5.597,14.366,acs5_2024_place_demographics
1600000US2713456,place,27,13456,"Cottage Grove city, Minnesota",2024,40992,74.371,6.548,7.35,7.636,8.404,25.393,acs5_2024_place_demographics
1600000US2713564,place,27,13564,"Cottonwood city, Minnesota",2024,1061,91.046,0.754,0.283,4.618,2.922,25.919,acs5_2024_place_demographics
1600000US2713582,place,27,13582,"Courtland city, Minnesota",2024,770,97.532,0.0,0.0,0.0,0.0,24.805,acs5_2024_place_demographics
1600000US2713708,place,27,13708,"Credit River city, Minnesota",2024,5551,92.11,0.0,2.054,2.0,5.26,18.537,acs5_2024_place_demographics
1600000US2713780,place,27,13780,"Cromwell city, Minnesota",2024,423,96.69,2.364,0.0,0.0,0.0,33.806,acs5_2024_place_demographics
1600000US2713870,place,27,13870,"Crookston city, Minnesota",2024,7344,84.899,1.28,1.103,9.586,1.825,18.505,acs5_2024_place_demographics
1600000US2713924,place,27,13924,"Crosby city, Minnesota",2024,2218,92.11,1.127,0.0,0.271,0.451,18.034,acs5_2024_place_demographics
1600000US2713978,place,27,13978,"Crosslake city, Minnesota",2024,2521,97.779,0.0,0.0,0.0,2.856,14.756,acs5_2024_place_demographics
1600000US2714054,place,27,14054,"Crown College CDP, Minnesota",2024,422,81.28,2.844,4.976,5.45,3.081,0.0,acs5_2024_place_demographics
1600000US2714158,place,27,14158,"Crystal city, Minnesota",2024,22476,65.452,13.77,3.493,11.31,9.73,21.338,acs5_2024_place_demographics
1600000US2714320,place,27,14320,"Currie city, Minnesota",2024,220,98.636,0.0,0.0,0.909,0.0,18.182,acs5_2024_place_demographics
1600000US2714428,place,27,14428,"Cuyuna city, Minnesota",2024,250,99.2,0.0,0.0,0.8,0.0,19.6,acs5_2024_place_demographics
1600000US2714446,place,27,14446,"Cyrus city, Minnesota",2024,355,91.268,0.0,0.563,5.07,0.563,19.155,acs5_2024_place_demographics
1600000US2714518,place,27,14518,"Dakota city, Minnesota",2024,304,99.013,0.0,0.0,1.645,0.0,15.132,acs5_2024_place_demographics
1600000US2714626,place,27,14626,"Dalton city, Minnesota",2024,223,92.825,0.0,0.0,0.0,0.0,10.314,acs5_2024_place_demographics
1600000US2714716,place,27,14716,"Danube city, Minnesota",2024,472,89.407,0.0,0.212,9.534,4.449,26.907,acs5_2024_place_demographics
1600000US2714734,place,27,14734,"Danvers city, Minnesota",2024,126,100.0,0.0,0.0,0.0,0.0,26.984,acs5_2024_place_demographics
1600000US2714770,place,27,14770,"Darfur city, Minnesota",2024,74,82.432,0.0,0.0,17.568,0.0,14.865,acs5_2024_place_demographics
1600000US2714842,place,27,14842,"Darwin city, Minnesota",2024,358,93.296,0.0,0.0,14.525,4.469,25.14,acs5_2024_place_demographics
1600000US2714878,place,27,14878,"Dassel city, Minnesota",2024,1358,95.803,0.0,0.0,1.105,0.221,19.588,acs5_2024_place_demographics
1600000US2714968,place,27,14968,"Dawson city, Minnesota",2024,1513,85.592,0.595,1.785,7.931,6.345,19.432,acs5_2024_place_demographics
1600000US2715022,place,27,15022,"Dayton city, Minnesota",2024,9095,77.372,5.168,2.419,5.849,6.993,27.817,acs5_2024_place_demographics
1600000US2715148,place,27,15148,"Deephaven city, Minnesota",2024,3793,94.121,0.079,2.03,2.241,3.665,23.253,acs5_2024_place_demographics
1600000US2715184,place,27,15184,"Deer Creek city, Minnesota",2024,330,93.333,0.0,0.0,0.0,1.515,30.606,acs5_2024_place_demographics
1600000US2715310,place,27,15310,"Deer River city, Minnesota",2024,889,77.953,0.0,0.0,0.225,1.462,24.859,acs5_2024_place_demographics
1600000US2715346,place,27,15346,"Deerwood city, Minnesota",2024,710,91.69,0.0,0.0,0.0,0.0,38.028,acs5_2024_place_demographics
1600000US2715418,place,27,15418,"De Graff city, Minnesota",2024,58,98.276,0.0,0.0,1.724,0.0,1.724,acs5_2024_place_demographics
1600000US2715454,place,27,15454,"Delano city, Minnesota",2024,6942,95.261,0.375,0.0,1.527,0.85,30.409,acs5_2024_place_demographics
1600000US2715472,place,27,15472,"Delavan city, Minnesota",2024,160,81.25,3.125,0.0,1.875,1.875,24.375,acs5_2024_place_demographics
1600000US2715544,place,27,15544,"Delhi city, Minnesota",2024,33,100.0,0.0,0.0,0.0,3.03,0.0,acs5_2024_place_demographics
1600000US2715616,place,27,15616,"Dellwood city, Minnesota",2024,1181,92.887,1.609,0.847,1.524,3.302,26.164,acs5_2024_place_demographics
1600000US2715670,place,27,15670,"Denham city, Minnesota",2024,33,81.818,0.0,0.0,0.0,0.0,15.152,acs5_2024_place_demographics
1600000US2715706,place,27,15706,"Dennison city, Minnesota",2024,223,91.031,0.0,0.448,0.0,0.448,19.731,acs5_2024_place_demographics
1600000US2715724,place,27,15724,"Dent city, Minnesota",2024,230,97.826,0.0,0.0,0.0,0.0,30.87,acs5_2024_place_demographics
1600000US2715832,place,27,15832,"Detroit Lakes city, Minnesota",2024,10025,88.04,1.606,0.309,0.788,1.127,21.756,acs5_2024_place_demographics
1600000US2715886,place,27,15886,"Dexter city, Minnesota",2024,350,98.0,0.571,0.0,0.0,0.0,12.857,acs5_2024_place_demographics
1600000US2715976,place,27,15976,"Dilworth city, Minnesota",2024,4713,85.529,5.156,0.106,6.938,2.079,25.652,acs5_2024_place_demographics
