District,District Name,Subgroup,Valid Tests,Participation Rate,Average English Score,Average Math Score,Average Reading Score,Average Science Score,Average Composite Score,Number Scoring 21 or Higher,Percent Scoring 21 or Higher,Number Scoring Below 19,Percent Scoring Below 19
798,Millington Municipal Schools,All Students,199,100,18.2,18.6,19.2,19.1,19,66,33.2,107,53.8
798,Millington Municipal Schools,Black/Hispanic/Native American,130,99,17.1,17.7,18.3,18.2,18,33,25.4,78,60
798,Millington Municipal Schools,Economically Disadvantaged,79,100,17,17.6,17.9,18.3,17.9,20,25.3,54,68.4
798,Millington Municipal Schools,English Learners,6,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
798,Millington Municipal Schools,Students with Disabilities,15,100,13.7,15.5,14.4,15.2,14.8,<1%,<1%,Suppressed,Suppressed
800,Smith County,All Students,189,99,19,18.5,20.4,19.6,19.6,81,42.9,90,47.6
800,Smith County,Black/Hispanic/Native American,20,100,18.8,18.1,20.3,19.4,19.3,7,35,10,50
800,Smith County,Economically Disadvantaged,45,100,17,17.1,18.8,18.4,17.9,11,24.4,30,66.7
800,Smith County,Students with Disabilities,25,100,14.2,14.9,15,15.7,15.1,1,4,22,88
810,Stewart County,All Students,136,99,17.8,18.6,19.2,19,18.8,46,33.8,67,49.3
810,Stewart County,Black/Hispanic/Native American,8,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
810,Stewart County,Economically Disadvantaged,34,97,14,15.1,16,15.8,15.3,3,8.8,28,82.4
810,Stewart County,English Learners,1,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
810,Stewart County,Students with Disabilities,16,94,14.4,15.2,15.5,15.6,15.3,2,12.5,14,87.5
820,Sullivan County,All Students,591,99,18,18.2,19.3,18.6,18.7,190,32.1,317,53.6
820,Sullivan County,Black/Hispanic/Native American,37,100,16.9,17.1,18.7,18.2,17.9,10,27,20,54.1
820,Sullivan County,Economically Disadvantaged,174,100,15.5,16.3,17.2,17.2,16.7,31,17.8,122,70.1
