District,District Name,Subgroup,Valid Tests,Participation Rate,Average English Score,Average Math Score,Average Reading Score,Average Science Score,Average Composite Score,Number Scoring 21 or Higher,Percent Scoring 21 or Higher,Number Scoring Below 19,Percent Scoring Below 19
10,Anderson County,All Students,449,100,17.6,18.4,19.2,19,18.7,156,34.7,241,53.7
10,Anderson County,Black/Hispanic/Native American,40,100,15.8,17.4,17.5,18.2,17.4,8,20,27,67.5
10,Anderson County,Economically Disadvantaged,120,100,15.7,16.6,17.4,17.2,16.9,23,19.2,85,70.8
10,Anderson County,English Learners,12,100,12.3,15,13.3,14.9,13.9,<1%,<1%,>99%,>99%
10,Anderson County,Students with Disabilities,59,100,12.7,14.5,13.9,15.1,14.2,2,3.4,54,91.5
12,Oak Ridge,All Students,343,100,20.9,20.9,22.5,21.5,21.6,183,53.4,115,33.5
12,Oak Ridge,Black/Hispanic/Native American,83,99,18.1,18.2,20.3,19.1,19.1,29,34.9,45,54.2
12,Oak Ridge,Economically Disadvantaged,63,98,17,17.5,19.5,19,18.3,20,31.7,35,55.6
12,Oak Ridge,English Learners,8,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
12,Oak Ridge,Students with Disabilities,32,97,14.5,16,16.5,17,16.1,3,9.4,26,81.3
20,Bedford County,All Students,598,100,16.7,17.7,18.1,18.5,17.9,166,27.8,353,59
20,Bedford County,Black/Hispanic/Native American,282,100,14.6,16.5,16.5,17.3,16.4,46,16.3,205,72.7
20,Bedford County,Economically Disadvantaged,261,100,15.5,16.9,17.3,17.7,17,55,21.1,178,68.2
20,Bedford County,English Learners,66,100,11.3,14.3,13,15.1,13.5,1,1.5,64,97
20,Bedford County,Students with Disabilities,39,100,11.6,13.8,13.8,15.1,13.7,<1%,<1%,Suppressed,Suppressed
30,Benton County,All Students,150,100,17.6,18.6,19.2,18.8,18.7,48,32,81,54
30,Benton County,Black/Hispanic/Native American,13,100,15.9,16.8,18.4,18.1,17.5,2,15.4,8,61.5
30,Benton County,Economically Disadvantaged,59,100,16.4,17.2,18.7,18.6,17.9,15,25.4,33,55.9
30,Benton County,English Learners,2,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
30,Benton County,Students with Disabilities,19,100,13.1,14.9,14.6,16,14.7,1,5.3,18,94.7
40,Bledsoe County,All Students,107,100,19,17.7,19.6,19.3,19.1,39,36.4,51,47.7
40,Bledsoe County,Black/Hispanic/Native American,10,100,14.6,15.5,16.2,17,16.1,1,10,7,70
40,Bledsoe County,Economically Disadvantaged,42,100,16.6,15.8,17.1,17.5,16.9,7,16.7,31,73.8
40,Bledsoe County,English Learners,3,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
40,Bledsoe County,Students with Disabilities,15,100,12.9,15.4,13.6,14.4,14.1,<1%,<1%,Suppressed,Suppressed
50,Blount County,All Students,677,99,19.1,18.9,20.2,19.6,19.6,275,40.6,320,47.3
50,Blount County,Black/Hispanic/Native American,97,99,16,17,17.4,17.3,17.1,23,23.7,64,66
50,Blount County,Economically Disadvantaged,107,98,16.7,16.9,18.3,17.8,17.6,32,29.9,63,58.9
50,Blount County,English Learners,21,100,12,14.8,13.2,14.4,13.8,1,4.8,20,95.2
50,Blount County,Students with Disabilities,74,95,12.7,14.4,14.4,15.4,14.3,6,8.1,63,85.1
51,Alcoa,All Students,174,100,19.7,20.1,20.5,20,20.2,78,44.8,80,46
51,Alcoa,Black/Hispanic/Native American,67,100,17,17.9,17.9,18.1,17.8,16,23.9,43,64.2
51,Alcoa,Economically Disadvantaged,45,100,16.4,16.8,17.4,17.7,17.3,9,20,31,68.9
51,Alcoa,English Learners,10,100,13.9,14.7,13.9,15.3,14.7,<1%,<1%,>99%,>99%
51,Alcoa,Students with Disabilities,19,100,12.5,15.2,13.9,15.5,14.5,1,5.3,17,89.5
52,Maryville,All Students,376,100,21.7,22,23,21.9,22.3,214,56.9,101,26.9
52,Maryville,Black/Hispanic/Native American,49,100,18.5,19.2,19.1,19.4,19.2,20,40.8,22,44.9
52,Maryville,Economically Disadvantaged,49,100,17.6,18.6,19.7,18.9,18.8,17,34.7,25,51
52,Maryville,English Learners,15,100,14.3,17.5,15.1,18.1,16.5,3,20,12,80
52,Maryville,Students with Disabilities,29,100,14.3,15.1,15.2,15.4,15.2,3,10.3,23,79.3
60,Bradley County,All Students,783,100,18.4,18.6,20,19.3,19.2,276,35.2,402,51.3
60,Bradley County,Black/Hispanic/Native American,120,98,15.8,16.5,17.9,17.4,17.1,22,18.3,82,68.3
60,Bradley County,Economically Disadvantaged,217,100,15.5,16.5,17.5,17.4,16.9,41,18.9,150,69.1
60,Bradley County,English Learners,23,100,13.9,15.6,15.3,15.3,15.2,2,8.7,20,87
60,Bradley County,Students with Disabilities,59,98,12.9,14.7,15.1,15.4,14.7,4,6.8,52,88.1
61,Cleveland,All Students,424,99,17.2,18.1,19.1,18.6,18.4,140,33,252,59.4
61,Cleveland,Black/Hispanic/Native American,204,100,14.4,16.3,16.6,16.6,16.1,30,14.7,160,78.4
61,Cleveland,Economically Disadvantaged,140,99,15.1,16.4,17.1,16.9,16.5,27,19.3,108,77.1
61,Cleveland,English Learners,73,100,11.5,14.7,13.1,14.6,13.6,<1%,<1%,Suppressed,Suppressed
61,Cleveland,Students with Disabilities,42,98,12.6,14.4,14.5,16,14.4,3,7.1,38,90.5
70,Campbell County,All Students,321,98,16.5,16.3,17.9,17.5,17.2,67,20.9,215,67
70,Campbell County,Black/Hispanic/Native American,9,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
70,Campbell County,Economically Disadvantaged,148,100,14.8,15.4,16.2,16.7,15.9,20,13.5,119,80.4
70,Campbell County,English Learners,3,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
70,Campbell County,Students with Disabilities,43,98,10.8,13.4,12.1,14.4,12.8,<1%,<1%,>99%,>99%
80,Cannon County,All Students,124,99,17.1,17.2,18.5,18.2,17.8,39,31.5,73,58.9
80,Cannon County,Black/Hispanic/Native American,7,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
80,Cannon County,Economically Disadvantaged,38,97,15.3,16,16.1,16.4,16,6,15.8,28,73.7
80,Cannon County,English Learners,1,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
80,Cannon County,Students with Disabilities,10,100,13.9,14.2,14.6,15.4,14.5,1,10,9,90
92,Hollow Rock - Bruceton,All Students,39,100,17.4,18.3,18.8,18.7,18.5,11,28.2,22,56.4
92,Hollow Rock - Bruceton,Black/Hispanic/Native American,4,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
92,Hollow Rock - Bruceton,Economically Disadvantaged,20,100,15.8,16.7,18,17.9,17.3,3,15,12,60
92,Hollow Rock - Bruceton,Students with Disabilities,2,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
93,Huntingdon Special School District,All Students,83,100,18.8,18.5,20.2,19.2,19.3,33,39.8,38,45.8
93,Huntingdon Special School District,Black/Hispanic/Native American,18,100,15.5,15.4,15.9,16.2,15.9,2,11.1,16,88.9
93,Huntingdon Special School District,Economically Disadvantaged,23,100,17.7,18,18.7,17.9,18.2,6,26.1,17,73.9
93,Huntingdon Special School District,Students with Disabilities,8,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
94,McKenzie,All Students,81,100,18.7,18.6,20.2,19.6,19.4,30,37,35,43.2
94,McKenzie,Black/Hispanic/Native American,18,100,15.3,16.1,16.1,15.9,16,3,16.7,14,77.8
94,McKenzie,Economically Disadvantaged,22,100,16.1,16.4,18.4,17.3,17.2,6,27.3,13,59.1
94,McKenzie,English Learners,1,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
94,McKenzie,Students with Disabilities,9,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
95,South Carroll,All Students,23,100,21,21.4,21.9,20.5,21.3,12,52.2,8,34.8
95,South Carroll,Black/Hispanic/Native American,2,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
95,South Carroll,Economically Disadvantaged,8,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
95,South Carroll,Students with Disabilities,3,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
97,West Carroll Sp Dist,All Students,45,96,17.5,16.6,18.4,17.9,17.8,9,20,27,60
97,West Carroll Sp Dist,Black/Hispanic/Native American,12,92,15,14.8,16.9,17.2,16.2,1,8.3,8,66.7
97,West Carroll Sp Dist,Economically Disadvantaged,19,95,16.1,15.2,17.3,16.9,16.5,2,10.5,14,73.7
97,West Carroll Sp Dist,Students with Disabilities,4,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
100,Carter County,All Students,344,99,18,17.6,19,18.5,18.4,96,27.9,208,60.5
100,Carter County,Black/Hispanic/Native American,31,97,17.1,16.5,17.6,18.3,17.6,7,22.6,21,67.7
100,Carter County,Economically Disadvantaged,178,98,16.9,16.9,18.1,17.9,17.6,34,19.1,120,67.4
100,Carter County,English Learners,4,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
100,Carter County,Students with Disabilities,45,98,13.9,15.9,15.4,16.7,15.6,3,6.7,41,91.1
101,Elizabethton,All Students,211,100,19.9,18.9,20.9,19.8,20,87,41.2,89,42.2
101,Elizabethton,Black/Hispanic/Native American,14,100,18.6,16.6,19.4,18.4,18.4,4,28.6,8,57.1
101,Elizabethton,Economically Disadvantaged,77,99,17.8,17.4,18.7,18.6,18.2,22,28.6,48,62.3
101,Elizabethton,Students with Disabilities,22,100,15,15.3,16.1,18.3,16.4,3,13.6,18,81.8
110,Cheatham County,All Students,385,100,18.9,18.1,20.3,19.4,19.3,143,37.1,185,48.1
110,Cheatham County,Black/Hispanic/Native American,57,100,16.5,16.5,18.9,18.4,17.8,14,24.6,37,64.9
110,Cheatham County,Economically Disadvantaged,122,99,16.4,16,17.9,17.4,17.1,22,18,80,65.6
110,Cheatham County,English Learners,7,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
110,Cheatham County,Students with Disabilities,41,98,14.6,15,15,16,15.4,3,7.3,35,85.4
120,Chester County,All Students,185,100,20.4,19.5,21.1,21.2,20.7,88,47.6,67,36.2
120,Chester County,Black/Hispanic/Native American,26,100,17.7,16.6,19.2,19.3,18.3,8,30.8,15,57.7
120,Chester County,Economically Disadvantaged,64,100,18.7,18,19.4,19.8,19.1,22,34.4,34,53.1
120,Chester County,Students with Disabilities,8,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
130,Claiborne County,All Students,244,100,17,17.8,19.3,18.4,18.3,73,29.9,139,57
130,Claiborne County,Black/Hispanic/Native American,10,100,15.9,17.1,19.5,18.3,17.9,3,30,5,50
130,Claiborne County,Economically Disadvantaged,88,100,15.8,17.1,17.6,17.4,17.1,19,21.6,59,67
130,Claiborne County,Students with Disabilities,30,100,12.6,13.7,14,14.6,13.8,<1%,<1%,Suppressed,Suppressed
140,Clay County,All Students,66,99,18.9,18.6,18.7,19,19,24,36.4,36,54.5
140,Clay County,Black/Hispanic/Native American,7,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
140,Clay County,Economically Disadvantaged,19,95,16.9,17.5,17.3,17.7,17.5,4,21.1,13,68.4
140,Clay County,English Learners,1,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
140,Clay County,Students with Disabilities,5,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
150,Cocke County,All Students,377,100,16,16.7,18,17.7,17.3,93,24.7,247,65.5
150,Cocke County,Black/Hispanic/Native American,44,100,15.3,16,18.6,17.7,17.1,9,20.5,30,68.2
150,Cocke County,Economically Disadvantaged,160,100,14.7,15.8,16.9,16.7,16.2,24,15,124,77.5
150,Cocke County,English Learners,1,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
150,Cocke County,Students with Disabilities,39,100,12.2,14.4,13.4,15,13.9,2,5.1,36,92.3
160,Coffee County,All Students,367,100,18.4,18.4,19.7,19.4,19.1,133,36.2,182,49.6
160,Coffee County,Black/Hispanic/Native American,67,100,16.2,17.1,17.3,17.3,17.1,13,19.4,48,71.6
160,Coffee County,Economically Disadvantaged,120,99,15.8,16.7,17.2,17.6,17,24,20,86,71.7
160,Coffee County,English Learners,25,100,14.1,16.6,14.6,16.7,15.7,2,8,21,84
160,Coffee County,Students with Disabilities,27,96,12.6,15,14.4,16.7,14.8,2,7.4,23,85.2
162,Tullahoma,All Students,270,100,19.5,19.3,20.4,19.8,19.9,112,41.5,119,44.1
162,Tullahoma,Black/Hispanic/Native American,62,100,15.6,16,16.6,16.7,16.4,7,11.3,47,75.8
162,Tullahoma,Economically Disadvantaged,68,100,15.7,16.9,17.1,17.4,16.9,12,17.6,47,69.1
162,Tullahoma,English Learners,6,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
162,Tullahoma,Students with Disabilities,24,100,11.1,13.6,13,15.2,13.3,<1%,<1%,>99%,>99%
170,Crockett County,All Students,212,100,18.8,18.6,19.9,19.3,19.3,80,37.7,105,49.5
170,Crockett County,Black/Hispanic/Native American,61,100,16.5,17.2,17.4,17.7,17.3,14,23,40,65.6
170,Crockett County,Economically Disadvantaged,63,100,16.3,16.6,17.2,17.3,17,10,15.9,40,63.5
170,Crockett County,English Learners,8,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
170,Crockett County,Students with Disabilities,12,100,13.9,16.1,14.6,16.8,15.5,2,16.7,10,83.3
180,Cumberland County,All Students,441,100,18.5,19,19.8,19.4,19.3,176,39.9,209,47.4
180,Cumberland County,Black/Hispanic/Native American,50,100,16.1,17.5,16.9,17.5,17.2,11,22,32,64
180,Cumberland County,Economically Disadvantaged,331,100,18.1,18.7,19.4,19,18.9,120,36.3,170,51.4
180,Cumberland County,English Learners,8,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
180,Cumberland County,Students with Disabilities,32,100,11.8,14.7,14.4,15.3,14.3,2,6.3,29,90.6
190,Davidson County,All Students,5196,99,16.1,17,17.9,18.1,17.5,1280,24.6,3492,67.2
190,Davidson County,Black/Hispanic/Native American,3852,99,14.5,15.9,16.4,16.9,16.1,585,15.2,2969,77.1
190,Davidson County,Economically Disadvantaged,2250,99,14,15.5,16,16.5,15.6,275,12.2,1808,80.4
190,Davidson County,English Learners,1281,99,11.8,14.6,13.6,15.3,14,50,3.9,1197,93.4
190,Davidson County,Students with Disabilities,546,99,13,15.3,15.2,16.1,15,58,10.6,466,85.3
200,Decatur County,All Students,108,100,19.9,19.6,20,19.8,20,42,38.9,46,42.6
200,Decatur County,Black/Hispanic/Native American,12,100,16.9,18.8,18.8,18.4,18.3,3,25,6,50
200,Decatur County,Economically Disadvantaged,48,100,18.9,18.8,19.2,19,19.2,15,31.3,27,56.3
200,Decatur County,English Learners,1,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
200,Decatur County,Students with Disabilities,8,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
210,DeKalb County,All Students,167,100,18.1,17.9,18.9,19,18.6,56,33.5,90,53.9
210,DeKalb County,Black/Hispanic/Native American,37,100,15.4,16.4,16.1,17.5,16.5,4,10.8,26,70.3
210,DeKalb County,Economically Disadvantaged,93,100,17,16.8,18.2,18.2,17.8,22,23.7,61,65.6
210,DeKalb County,English Learners,16,100,14.4,16.5,14.9,16.9,15.9,3,18.8,13,81.3
210,DeKalb County,Students with Disabilities,16,100,13,13.8,13.9,14.2,13.9,<1%,<1%,>99%,>99%
220,Dickson County,All Students,561,100,18.3,18.1,19.8,19.2,19,205,36.5,288,51.3
220,Dickson County,Black/Hispanic/Native American,113,100,16.2,17,17.4,17.9,17.3,25,22.1,74,65.5
220,Dickson County,Economically Disadvantaged,140,100,16.2,16.9,17.8,17.9,17.3,31,22.1,89,63.6
220,Dickson County,English Learners,17,100,10.8,15.2,11.8,14.5,13.2,<1%,<1%,>99%,>99%
220,Dickson County,Students with Disabilities,38,97,12.2,14.3,13.7,14.8,13.9,3,7.9,34,89.5
230,Dyer County,All Students,246,100,21.7,20.5,21.7,21.1,21.5,130,52.8,88,35.8
230,Dyer County,Black/Hispanic/Native American,41,100,18.8,18.4,18.4,19.4,19,12,29.3,24,58.5
230,Dyer County,Economically Disadvantaged,96,100,19.7,19,20.4,19.9,19.9,39,40.6,43,44.8
230,Dyer County,English Learners,3,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
230,Dyer County,Students with Disabilities,29,100,13.1,14.5,14.2,15.4,14.5,<1%,<1%,Suppressed,Suppressed
231,Dyersburg,All Students,143,99,19.9,19.5,20.1,20.2,20.1,66,46.2,61,42.7
231,Dyersburg,Black/Hispanic/Native American,70,100,16.5,17.2,17.1,18,17.4,19,27.1,43,61.4
231,Dyersburg,Economically Disadvantaged,67,100,17.4,17.7,17.5,18.4,17.9,20,29.9,41,61.2
231,Dyersburg,English Learners,7,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
231,Dyersburg,Students with Disabilities,26,100,12.1,14.6,13.1,15,13.9,<1%,<1%,>99%,>99%
240,Fayette County Public Schools,All Students,187,100,15,15.2,16.7,16.6,16.1,25,13.4,148,79.1
240,Fayette County Public Schools,Black/Hispanic/Native American,144,100,14.1,14.9,15.9,15.9,15.4,11,7.6,125,86.8
240,Fayette County Public Schools,Economically Disadvantaged,92,100,13.8,14.6,15.6,15.6,15.1,8,8.7,82,89.1
240,Fayette County Public Schools,English Learners,16,100,14.3,14.4,15.8,16.4,15.4,1,6.3,13,81.3
240,Fayette County Public Schools,Students with Disabilities,22,100,11.3,14,13.2,14.4,13.4,<1%,<1%,>99%,>99%
250,Fentress County,All Students,59,97,17.4,18.5,19,17.9,18.4,17,28.8,33,55.9
250,Fentress County,Black/Hispanic/Native American,3,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
250,Fentress County,Economically Disadvantaged,16,100,16.3,17.1,17.8,17.3,17.3,3,18.8,11,68.8
250,Fentress County,Students with Disabilities,7,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
260,Franklin County,All Students,305,100,17.1,17.3,18.9,18.5,18.1,86,28.2,179,58.7
260,Franklin County,Black/Hispanic/Native American,46,100,14.6,15.8,16.6,17.4,16.2,7,15.2,36,78.3
260,Franklin County,Economically Disadvantaged,86,100,16.1,16,18.1,17.5,17,15,17.4,57,66.3
260,Franklin County,English Learners,7,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
260,Franklin County,Students with Disabilities,30,100,13.2,14.5,14.5,15.7,14.6,2,6.7,27,90
271,Humboldt City Schools,All Students,60,97,14.1,15.2,15.6,16.2,15.4,5,8.3,50,83.3
271,Humboldt City Schools,Black/Hispanic/Native American,55,96,13.9,15,15.4,15.8,15.2,3,5.5,47,85.5
271,Humboldt City Schools,Economically Disadvantaged,45,96,14.4,15.4,15.8,16.2,15.6,5,11.1,36,80
271,Humboldt City Schools,English Learners,2,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
271,Humboldt City Schools,Students with Disabilities,5,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
272,Milan,All Students,138,100,19.2,19.7,20,19.8,19.8,56,40.6,60,43.5
272,Milan,Black/Hispanic/Native American,42,100,16.7,18.1,17.9,17.8,17.8,9,21.4,25,59.5
272,Milan,Economically Disadvantaged,77,100,17.7,18.3,18,18.6,18.3,22,28.6,41,53.2
272,Milan,English Learners,1,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
272,Milan,Students with Disabilities,14,100,13.6,14.9,15.1,16.7,15.3,1,7.1,13,92.9
273,Trenton,All Students,114,100,18.4,17.3,18.5,18.3,18.3,30,26.3,63,55.3
273,Trenton,Black/Hispanic/Native American,42,100,15.7,16.3,16,16.4,16.2,3,7.1,31,73.8
273,Trenton,Economically Disadvantaged,58,100,17.5,16.6,17.7,17.7,17.5,13,22.4,39,67.2
273,Trenton,English Learners,3,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
273,Trenton,Students with Disabilities,10,100,13.3,14.6,15.4,15.1,14.6,1,10,9,90
274,Bradford,All Students,37,100,19.6,19.5,20.4,20.4,20.1,18,48.6,13,35.1
274,Bradford,Black/Hispanic/Native American,2,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
274,Bradford,Economically Disadvantaged,11,100,19.4,19.3,20,20.4,19.9,4,36.4,3,27.3
274,Bradford,Students with Disabilities,2,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
275,Gibson Co Sp Dist,All Students,279,100,21.3,20.5,21.8,21.1,21.4,143,51.3,96,34.4
275,Gibson Co Sp Dist,Black/Hispanic/Native American,26,100,17.6,17.3,16.9,18,17.5,8,30.8,16,61.5
275,Gibson Co Sp Dist,Economically Disadvantaged,65,100,18.7,18.4,19.6,19,19.1,19,29.2,37,56.9
275,Gibson Co Sp Dist,Students with Disabilities,22,100,14.1,16,17,16.6,16.2,3,13.6,18,81.8
280,Giles County,All Students,251,100,18.4,17.6,18.8,19.1,18.6,78,31.1,137,54.6
280,Giles County,Black/Hispanic/Native American,66,100,15.4,16,15.9,17.1,16.3,10,15.2,50,75.8
280,Giles County,Economically Disadvantaged,97,100,16.5,16.8,18,18.1,17.5,23,23.7,64,66
280,Giles County,English Learners,6,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
280,Giles County,Students with Disabilities,21,100,13.4,14.9,14.5,16.6,14.9,2,9.5,18,85.7
290,Grainger County,All Students,227,99,17,16.6,18.2,17.9,17.5,60,26.4,143,63
290,Grainger County,Black/Hispanic/Native American,31,100,16.3,16.3,17.4,17.7,17.1,7,22.6,23,74.2
290,Grainger County,Economically Disadvantaged,80,99,15.1,15.4,16.3,16.3,15.9,12,15,61,76.3
290,Grainger County,English Learners,14,100,14.5,15.4,15.6,16.6,15.7,1,7.1,12,85.7
290,Grainger County,Students with Disabilities,37,97,12.4,13.8,13.6,15.5,13.9,3,8.1,34,91.9
300,Greene County,All Students,410,100,18,18.3,18.4,18.6,18.5,136,33.2,221,53.9
300,Greene County,Black/Hispanic/Native American,46,100,17.3,16.9,18.3,18.5,17.9,12,26.1,25,54.3
300,Greene County,Economically Disadvantaged,146,100,16.9,17.2,17.3,17.7,17.4,36,24.7,90,61.6
300,Greene County,English Learners,7,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
300,Greene County,Students with Disabilities,46,100,12.5,14.7,13.2,15.8,14.2,2,4.3,43,93.5
301,Greeneville,All Students,225,99,19.7,20.1,20.9,20,20.3,97,43.1,101,44.9
301,Greeneville,Black/Hispanic/Native American,43,100,15.5,17,16.3,17.4,16.7,7,16.3,34,79.1
301,Greeneville,Economically Disadvantaged,82,98,17.2,17.9,18.7,18.5,18.2,21,25.6,53,64.6
301,Greeneville,English Learners,5,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
301,Greeneville,Students with Disabilities,16,94,11.4,14.8,12.8,15.4,13.8,1,6.3,15,93.8
310,Grundy County,All Students,101,100,18.1,18.2,19.3,18.5,18.7,29,28.7,49,48.5
310,Grundy County,Black/Hispanic/Native American,3,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
310,Grundy County,Economically Disadvantaged,41,100,16.5,16.5,18.2,17,17.2,6,14.6,25,61
310,Grundy County,English Learners,2,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
310,Grundy County,Students with Disabilities,13,100,11.8,14.2,12.5,15.1,13.7,<1%,<1%,Suppressed,Suppressed
320,Hamblen County,All Students,675,100,17,17.9,18.3,18.4,18,184,27.3,409,60.6
320,Hamblen County,Black/Hispanic/Native American,302,100,14.7,16.6,16.4,17,16.3,51,16.9,226,74.8
320,Hamblen County,Economically Disadvantaged,254,100,15.3,16.5,16.9,17.2,16.6,50,19.7,178,70.1
320,Hamblen County,English Learners,116,100,11.3,14.5,13.3,15.1,13.7,2,1.7,112,96.6
320,Hamblen County,Students with Disabilities,67,100,12.7,15.3,14.3,15.5,14.6,5,7.5,61,91
330,Hamilton County,All Students,3153,100,17.8,18.6,19.4,19.3,18.9,1159,36.8,1699,53.9
330,Hamilton County,Black/Hispanic/Native American,1676,100,14.5,16.3,16.5,17,16.2,286,17.1,1261,75.2
330,Hamilton County,Economically Disadvantaged,1262,100,14.3,16.2,16.4,17,16.1,209,16.6,963,76.3
330,Hamilton County,English Learners,387,99,11.3,14.2,13.1,15.1,13.6,10,2.6,371,95.9
330,Hamilton County,Students with Disabilities,286,99,14.6,16.1,16.5,17.1,16.2,44,15.4,218,76.2
340,Hancock County,All Students,63,100,15.9,15.4,17.5,17.4,16.7,12,19,42,66.7
340,Hancock County,Economically Disadvantaged,26,100,14.9,15.2,16.9,16.7,16.1,5,19.2,18,69.2
340,Hancock County,Students with Disabilities,11,100,11.7,12.4,13.5,14.8,13.4,<1%,<1%,>99%,>99%
350,Hardeman County Schools,All Students,224,99,15.3,15.6,17.2,17,16.4,32,14.3,163,72.8
350,Hardeman County Schools,Black/Hispanic/Native American,136,99,14.1,14.8,15.7,16.2,15.4,8,5.9,117,86
350,Hardeman County Schools,Economically Disadvantaged,119,98,14.6,15.3,16.3,16.5,15.8,13,10.9,94,79
350,Hardeman County Schools,English Learners,4,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
350,Hardeman County Schools,Students with Disabilities,26,100,11.3,13.5,13.6,15.5,13.7,2,7.7,24,92.3
360,Hardin County,All Students,226,100,18.1,18.3,19.3,19.1,18.9,79,35,119,52.7
360,Hardin County,Black/Hispanic/Native American,23,96,16.4,17,17.3,17.4,17.2,4,17.4,18,78.3
360,Hardin County,Economically Disadvantaged,89,100,16.6,16.9,18,17.7,17.5,22,24.7,58,65.2
360,Hardin County,English Learners,0,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
360,Hardin County,Students with Disabilities,20,100,12.4,13.1,12.9,14.8,13.4,<1%,<1%,>99%,>99%
370,Hawkins County,All Students,516,99,16.9,17.3,18.3,18,17.8,138,26.7,321,62.2
370,Hawkins County,Black/Hispanic/Native American,39,98,15.5,16.8,16.1,17.2,16.6,9,23.1,30,76.9
