#ASSMT_CD,HIGHEST_RECENT_IND,LONG_SCHOOL_YEAR,SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGRP_DESC,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,NATIONAL_AVG_SCORE_VAL,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL
"ACT","Highest","2024-25","610","Berrien County","0101","Berrien High School","All Students","Mathematics","1380130.","12389","TFS","TFS","18.9","20.7","TFS","TFS"
"ACT","Highest","2024-25","610","Berrien County","0101","Berrien High School","All Students","Reading","1380130.","12389","TFS","TFS","20","22.7","TFS","TFS"
"ACT","Highest","2024-25","610","Berrien County","0101","Berrien High School","All Students","Science","1380130.","12190","TFS","TFS","19.6","21.6","TFS","TFS"
"ACT","Highest","2024-25","610","Berrien County","0101","Berrien High School","All Students","Writing Subscore","1380130.","1711","TFS","TFS","6.1","6.7","TFS","TFS"
"ACT","Highest","2024-25","611","Bibb County","0105","Howard High School","All Students","Composite","1380130.","12390","38","13","19.4","21.5","17.9","17.8"
"ACT","Highest","2024-25","611","Bibb County","0105","Howard High School","All Students","English","1380130.","12389","38","13","18.4","20.7","16.2","16.3"
"ACT","Highest","2024-25","611","Bibb County","0105","Howard High School","All Students","Mathematics","1380130.","12389","38","13","18.9","20.7","17.5","17.2"
"ACT","Highest","2024-25","611","Bibb County","0105","Howard High School","All Students","Reading","1380130.","12389","38","13","20","22.7","19.2","19.4"
"ACT","Highest","2024-25","611","Bibb County","0105","Howard High School","All Students","Science","1380130.","12190","34","11","19.6","21.6","18.7","18"
"ACT","Highest","2024-25","611","Bibb County","0105","Howard High School","All Students","Writing Subscore","1380130.","1711","TFS","TFS","6.1","6.7","TFS","TFS"
"ACT","Highest","2024-25","611","Bibb County","0117","Academy For Classical Education","All Students","Composite","1380130.","12390","38","TFS","19.4","21.5","17.9","TFS"
"ACT","Highest","2024-25","611","Bibb County","0117","Academy For Classical Education","All Students","English","1380130.","12389","38","TFS","18.4","20.7","16.2","TFS"
"ACT","Highest","2024-25","611","Bibb County","0117","Academy For Classical Education","All Students","Mathematics","1380130.","12389","38","TFS","18.9","20.7","17.5","TFS"
"ACT","Highest","2024-25","611","Bibb County","0117","Academy For Classical Education","All Students","Reading","1380130.","12389","38","TFS","20","22.7","19.2","TFS"
"ACT","Highest","2024-25","611","Bibb County","0117","Academy For Classical Education","All Students","Science","1380130.","12190","34","TFS","19.6","21.6","18.7","TFS"
"ACT","Highest","2024-25","611","Bibb County","0117","Academy For Classical Education","All Students","Writing Subscore","1380130.","1711","TFS","TFS","6.1","6.7","TFS","TFS"
"ACT","Highest","2024-25","611","Bibb County","0186","Central High School","All Students","Composite","1380130.","12390","38","TFS","19.4","21.5","17.9","TFS"
"ACT","Highest","2024-25","611","Bibb County","0186","Central High School","All Students","English","1380130.","12389","38","TFS","18.4","20.7","16.2","TFS"
"ACT","Highest","2024-25","611","Bibb County","0186","Central High School","All Students","Mathematics","1380130.","12389","38","TFS","18.9","20.7","17.5","TFS"
"ACT","Highest","2024-25","611","Bibb County","0186","Central High School","All Students","Reading","1380130.","12389","38","TFS","20","22.7","19.2","TFS"
"ACT","Highest","2024-25","611","Bibb County","0186","Central High School","All Students","Science","1380130.","12190","34","TFS","19.6","21.6","18.7","TFS"
"ACT","Highest","2024-25","611","Bibb County","0186","Central High School","All Students","Writing Subscore","1380130.","1711","TFS","TFS","6.1","6.7","TFS","TFS"
"ACT","Highest","2024-25","611","Bibb County","0204","Rutland High School","All Students","Composite","1380130.","12390","38","13","19.4","21.5","17.9","16.5"
"ACT","Highest","2024-25","611","Bibb County","0204","Rutland High School","All Students","English","1380130.","12389","38","13","18.4","20.7","16.2","14.6"
"ACT","Highest","2024-25","611","Bibb County","0204","Rutland High School","All Students","Mathematics","1380130.","12389","38","13","18.9","20.7","17.5","15.2"
"ACT","Highest","2024-25","611","Bibb County","0204","Rutland High School","All Students","Reading","1380130.","12389","38","13","20","22.7","19.2","18.3"
"ACT","Highest","2024-25","611","Bibb County","0204","Rutland High School","All Students","Science","1380130.","12190","34","13","19.6","21.6","18.7","17.4"
"ACT","Highest","2024-25","611","Bibb County","0204","Rutland High School","All Students","Writing Subscore","1380130.","1711","TFS","TFS","6.1","6.7","TFS","TFS"
"ACT","Highest","2024-25","611","Bibb County","0286","Northeast High School","All Students","Composite","1380130.","12390","38","TFS","19.4","21.5","17.9","TFS"
